Yr, Mn,Date_obs,Date,CO2
1971,11,26252,1971.874,324.8
1971,12,26282,1971.9562,326.01
1972,1,26313,1972.041,326.77
1972,2,26344,1972.1257,327.63
1972,3,26373,1972.2049,327.75
1972,4,26404,1972.2896,329.72
1972,5,26434,1972.3716,330.07
1972,6,26465,1972.4563,329.09
1972,7,26495,1972.5383,328.04
1972,8,26526,1972.623,326.32
1972,9,26557,1972.7077,324.84
1972,10,26587,1972.7896,325.2
1972,11,26618,1972.8743,326.5
1972,12,26648,1972.9563,327.55
1973,1,26679,1973.0411,328.55
1973,2,26710,1973.126,329.56
1973,3,26738,1973.2027,330.3
1973,4,26769,1973.2877,331.5
1973,5,26799,1973.3699,332.48
1973,6,26830,1973.4548,332.07
1973,7,26860,1973.537,330.87
1973,8,26891,1973.6219,329.31
1973,9,26922,1973.7068,327.52
1973,10,26952,1973.789,327.19
1973,11,26983,1973.874,328.16
1973,12,27013,1973.9562,328.65
1974,1,27044,1974.0411,329.36
1974,2,27075,1974.126,330.71
1974,3,27103,1974.2027,331.49
1974,4,27134,1974.2877,332.65
1974,5,27164,1974.3699,333.1
1974,6,27195,1974.4548,332.26
1974,7,27225,1974.537,331.18
1974,8,27256,1974.6219,329.4
1974,9,27287,1974.7068,327.44
1974,10,27317,1974.789,327.38
1974,11,27348,1974.874,328.46
1974,12,27378,1974.9562,329.58
1975,1,27409,1975.0411,330.41
1975,2,27440,1975.126,331.41
1975,3,27468,1975.2027,332.05
1975,4,27499,1975.2877,333.32
1975,5,27529,1975.3699,333.98
1975,6,27560,1975.4548,333.62
1975,7,27590,1975.537,331.91
1975,8,27621,1975.6219,330.06
1975,9,27652,1975.7068,328.57
1975,10,27682,1975.789,328.35
1975,11,27713,1975.874,329.5
1975,12,27743,1975.9562,330.77
1976,1,27774,1976.041,331.76
1976,2,27805,1976.1257,332.58
1976,3,27834,1976.2049,333.5
1976,4,27865,1976.2896,334.59
1976,5,27895,1976.3716,334.89
1976,6,27926,1976.4563,334.34
1976,7,27956,1976.5383,333.06
1976,8,27987,1976.623,330.95
1976,9,28018,1976.7077,329.31
1976,10,28048,1976.7896,328.95
1976,11,28079,1976.8743,330.32
1976,12,28109,1976.9563,331.69
1977,1,28140,1977.0411,332.94
1977,2,28171,1977.126,333.43
1977,3,28199,1977.2027,334.71
1977,4,28230,1977.2877,336.08
1977,5,28260,1977.3699,336.76
1977,6,28291,1977.4548,336.28
1977,7,28321,1977.537,334.93
1977,8,28352,1977.6219,332.76
1977,9,28383,1977.7068,331.6
1977,10,28413,1977.789,331.17
1977,11,28444,1977.874,332.41
1977,12,28474,1977.9562,333.86
1978,1,28505,1978.0411,334.98
1978,2,28536,1978.126,335.4
1978,3,28564,1978.2027,336.65
1978,4,28595,1978.2877,337.76
1978,5,28625,1978.3699,338.02
1978,6,28656,1978.4548,337.91
1978,7,28686,1978.537,336.55
1978,8,28717,1978.6219,334.69
1978,9,28748,1978.7068,332.77
1978,10,28778,1978.789,332.56
1978,11,28809,1978.874,333.93
1978,12,28839,1978.9562,334.96
1979,1,28870,1979.0411,336.24
1979,2,28901,1979.126,336.77
1979,3,28929,1979.2027,337.97
1979,4,28960,1979.2877,338.89
1979,5,28990,1979.3699,339.48
1979,6,29021,1979.4548,339.3
1979,7,29051,1979.537,337.74
1979,8,29082,1979.6219,336.1
1979,9,29113,1979.7068,333.93
1979,10,29143,1979.789,333.87
1979,11,29174,1979.874,335.3
1979,12,29204,1979.9562,336.74
1980,1,29235,1980.041,338.03
1980,2,29266,1980.1257,338.37
1980,3,29295,1980.2049,340.09
1980,4,29326,1980.2896,340.78
1980,5,29356,1980.3716,341.48
1980,6,29387,1980.4563,341.19
1980,7,29417,1980.5383,339.57
1980,8,29448,1980.623,337.61
1980,9,29479,1980.7077,335.9
1980,10,29509,1980.7896,336.03
1980,11,29540,1980.8743,337.12
1980,12,29570,1980.9563,338.23
1981,1,29601,1981.0411,339.25
1981,2,29632,1981.126,340.5
1981,3,29660,1981.2027,341.4
1981,4,29691,1981.2877,342.52
1981,5,29721,1981.3699,342.93
1981,6,29752,1981.4548,342.27
1981,7,29782,1981.537,340.5
1981,8,29813,1981.6219,338.45
1981,9,29844,1981.7068,336.71
1981,10,29874,1981.789,336.88
1981,11,29905,1981.874,338.38
1981,12,29935,1981.9562,339.63
1982,1,29966,1982.0411,340.77
1982,2,29997,1982.126,341.63
1982,3,30025,1982.2027,342.72
1982,4,30056,1982.2877,343.59
1982,5,30086,1982.3699,344.16
1982,6,30117,1982.4548,343.37
1982,7,30147,1982.537,342.07
1982,8,30178,1982.6219,339.83
1982,9,30209,1982.7068,338
1982,10,30239,1982.789,337.88
1982,11,30270,1982.874,339.28
1982,12,30300,1982.9562,340.51
1983,1,30331,1983.0411,341.4
1983,2,30362,1983.126,342.54
1983,3,30390,1983.2027,343.12
1983,4,30421,1983.2877,344.96
1983,5,30451,1983.3699,345.78
1983,6,30482,1983.4548,345.34
1983,7,30512,1983.537,344
1983,8,30543,1983.6219,342.4
1983,9,30574,1983.7068,339.89
1983,10,30604,1983.789,340.01
1983,11,30635,1983.874,341.16
1983,12,30665,1983.9562,342.98
1984,1,30696,1984.041,343.82
1984,2,30727,1984.1257,344.62
1984,3,30756,1984.2049,345.38
1984,4,30787,1984.2896,347.15
1984,5,30817,1984.3716,347.52
1984,6,30848,1984.4563,346.88
1984,7,30878,1984.5383,345.47
1984,8,30909,1984.623,343.34
1984,9,30940,1984.7077,341.13
1984,10,30970,1984.7896,341.4
1984,11,31001,1984.8743,343.02
1984,12,31031,1984.9563,344.25
1985,1,31062,1985.0411,344.99
1985,2,31093,1985.126,346.01
1985,3,31121,1985.2027,347.43
1985,4,31152,1985.2877,348.34
1985,5,31182,1985.3699,348.92
1985,6,31213,1985.4548,348.24
1985,7,31243,1985.537,346.54
1985,8,31274,1985.6219,344.64
1985,9,31305,1985.7068,343.06
1985,10,31335,1985.789,342.78
1985,11,31366,1985.874,344.21
1985,12,31396,1985.9562,345.53
1986,1,31427,1986.0411,346.28
1986,2,31458,1986.126,346.93
1986,3,31486,1986.2027,347.83
1986,4,31517,1986.2877,349.53
1986,5,31547,1986.3699,350.19
1986,6,31578,1986.4548,349.54
1986,7,31608,1986.537,347.92
1986,8,31639,1986.6219,345.88
1986,9,31670,1986.7068,344.83
1986,10,31700,1986.789,344.15
1986,11,31731,1986.874,345.64
1986,12,31761,1986.9562,346.88
1987,1,31792,1987.0411,348
1987,2,31823,1987.126,348.47
1987,3,31851,1987.2027,349.41
1987,4,31882,1987.2877,350.97
1987,5,31912,1987.3699,351.84
1987,6,31943,1987.4548,351.25
1987,7,31973,1987.537,349.5
1987,8,32004,1987.6219,348.08
1987,9,32035,1987.7068,346.44
1987,10,32065,1987.789,346.1
1987,11,32096,1987.874,347.54
1987,12,32126,1987.9562,348.69
1988,1,32157,1988.041,350.16
1988,2,32188,1988.1257,351.47
1988,3,32217,1988.2049,351.96
1988,4,32248,1988.2896,353.33
1988,5,32278,1988.3716,353.97
1988,6,32309,1988.4563,353.55
1988,7,32339,1988.5383,352.14
1988,8,32370,1988.623,350.19
1988,9,32401,1988.7077,348.5
1988,10,32431,1988.7896,348.66
1988,11,32462,1988.8743,349.85
1988,12,32492,1988.9563,351.12
1989,1,32523,1989.0411,352.55
1989,2,32554,1989.126,352.86
1989,3,32582,1989.2027,353.48
1989,4,32613,1989.2877,355.21
1989,5,32643,1989.3699,355.47
1989,6,32674,1989.4548,354.92
1989,7,32704,1989.537,353.7
1989,8,32735,1989.6219,351.47
1989,9,32766,1989.7068,349.61
1989,10,32796,1989.789,349.79
1989,11,32827,1989.874,351.09
1989,12,32857,1989.9562,352.32
1990,1,32888,1990.0411,353.46
1990,2,32919,1990.126,354.5
1990,3,32947,1990.2027,355.19
1990,4,32978,1990.2877,356
1990,5,33008,1990.3699,356.96
1990,6,33039,1990.4548,356.04
1990,7,33069,1990.537,354.62
1990,8,33100,1990.6219,352.71
1990,9,33131,1990.7068,350.77
1990,10,33161,1990.789,350.99
1990,11,33192,1990.874,352.64
1990,12,33222,1990.9562,354.02
1991,1,33253,1991.0411,354.53
1991,2,33284,1991.126,355.55
1991,3,33312,1991.2027,356.96
1991,4,33343,1991.2877,358.4
1991,5,33373,1991.3699,359.14
1991,6,33404,1991.4548,358.04
1991,7,33434,1991.537,355.98
1991,8,33465,1991.6219,353.81
1991,9,33496,1991.7068,351.95
1991,10,33526,1991.789,352.02
1991,11,33557,1991.874,353.55
1991,12,33587,1991.9562,354.79
1992,1,33618,1992.041,355.79
1992,2,33649,1992.1257,356.52
1992,3,33678,1992.2049,357.61
1992,4,33709,1992.2896,358.95
1992,5,33739,1992.3716,359.46
1992,6,33770,1992.4563,359.05
1992,7,33800,1992.5383,356.82
1992,8,33831,1992.623,354.8
1992,9,33862,1992.7077,352.81
1992,10,33892,1992.7896,353.11
1992,11,33923,1992.8743,353.96
1992,12,33953,1992.9563,355.2
1993,1,33984,1993.0411,356.5
1993,2,34015,1993.126,356.97
1993,3,34043,1993.2027,358.18
1993,4,34074,1993.2877,359.26
1993,5,34104,1993.3699,360.08
1993,6,34135,1993.4548,359.4
1993,7,34165,1993.537,357.38
1993,8,34196,1993.6219,355.33
1993,9,34227,1993.7068,353.5
1993,10,34257,1993.789,353.8
1993,11,34288,1993.874,355.15
1993,12,34318,1993.9562,356.62
1994,1,34349,1994.0411,358.19
1994,2,34380,1994.126,358.73
1994,3,34408,1994.2027,359.79
1994,4,34439,1994.2877,361.09
1994,5,34469,1994.3699,361.51
1994,6,34500,1994.4548,360.78
1994,7,34530,1994.537,359.38
1994,8,34561,1994.6219,357.31
1994,9,34592,1994.7068,355.68
1994,10,34622,1994.789,355.83
1994,11,34653,1994.874,357.42
1994,12,34683,1994.9562,358.87
1995,1,34714,1995.0411,359.81
1995,2,34745,1995.126,360.84
1995,3,34773,1995.2027,361.48
1995,4,34804,1995.2877,363.3
1995,5,34834,1995.3699,363.64
1995,6,34865,1995.4548,363.11
1995,7,34895,1995.537,361.75
1995,8,34926,1995.6219,359.31
1995,9,34957,1995.7068,357.91
1995,10,34987,1995.789,357.62
1995,11,35018,1995.874,359.42
1995,12,35048,1995.9562,360.56
1996,1,35079,1996.041,361.91
1996,2,35110,1996.1257,363.11
1996,3,35139,1996.2049,363.89
1996,4,35170,1996.2896,364.58
1996,5,35200,1996.3716,365.29
1996,6,35231,1996.4563,364.84
1996,7,35261,1996.5383,363.52
1996,8,35292,1996.623,361.35
1996,9,35323,1996.7077,359.32
1996,10,35353,1996.7896,359.48
1996,11,35384,1996.8743,360.64
1996,12,35414,1996.9563,362.21
1997,1,35445,1997.0411,363.06
1997,2,35476,1997.126,363.87
1997,3,35504,1997.2027,364.44
1997,4,35535,1997.2877,366.23
1997,5,35565,1997.3699,366.68
1997,6,35596,1997.4548,365.52
1997,7,35626,1997.537,364.36
1997,8,35657,1997.6219,362.39
1997,9,35688,1997.7068,360.08
1997,10,35718,1997.789,360.67
1997,11,35749,1997.874,362.32
1997,12,35779,1997.9562,364.17
1998,1,35810,1998.0411,365.22
1998,2,35841,1998.126,366.04
1998,3,35869,1998.2027,367.2
1998,4,35900,1998.2877,368.5
1998,5,35930,1998.3699,369.19
1998,6,35961,1998.4548,368.77
1998,7,35991,1998.537,367.53
1998,8,36022,1998.6219,365.67
1998,9,36053,1998.7068,363.8
1998,10,36083,1998.789,364.13
1998,11,36114,1998.874,365.36
1998,12,36144,1998.9562,366.87
1999,1,36175,1999.0411,368.05
1999,2,36206,1999.126,368.77
1999,3,36234,1999.2027,369.49
1999,4,36265,1999.2877,371.04
1999,5,36295,1999.3699,370.9
1999,6,36326,1999.4548,370.25
1999,7,36356,1999.537,369.17
1999,8,36387,1999.6219,366.83
1999,9,36418,1999.7068,364.54
1999,10,36448,1999.789,365.04
1999,11,36479,1999.874,366.58
1999,12,36509,1999.9562,367.92
2000,1,36540,2000.041,369.05
2000,2,36571,2000.1257,369.37
2000,3,36600,2000.2049,370.42
2000,4,36631,2000.2896,371.57
2000,5,36661,2000.3716,371.74
2000,6,36692,2000.4563,371.6
2000,7,36722,2000.5383,370.02
2000,8,36753,2000.623,368.03
2000,9,36784,2000.7077,366.53
2000,10,36814,2000.7896,366.64
2000,11,36845,2000.8743,368.2
2000,12,36875,2000.9563,369.44
2001,1,36906,2001.0411,370.2
2001,2,36937,2001.126,371.42
2001,3,36965,2001.2027,372.04
2001,4,36996,2001.2877,372.78
2001,5,37026,2001.3699,373.94
2001,6,37057,2001.4548,373.23
2001,7,37087,2001.537,371.54
2001,8,37118,2001.6219,369.47
2001,9,37149,2001.7068,367.88
2001,10,37179,2001.789,368.02
2001,11,37210,2001.874,369.6
2001,12,37240,2001.9562,371.16
2002,1,37271,2002.0411,372.36
2002,2,37302,2002.126,373
2002,3,37330,2002.2027,373.44
2002,4,37361,2002.2877,374.77
2002,5,37391,2002.3699,375.48
2002,6,37422,2002.4548,375.33
2002,7,37452,2002.537,373.95
2002,8,37483,2002.6219,371.41
2002,9,37514,2002.7068,370.63
2002,10,37544,2002.789,370.18
2002,11,37575,2002.874,372.01
2002,12,37605,2002.9562,373.71
2003,1,37636,2003.0411,374.61
2003,2,37667,2003.126,375.55
2003,3,37695,2003.2027,376.04
2003,4,37726,2003.2877,377.58
2003,5,37756,2003.3699,378.28
2003,6,37787,2003.4548,378.07
2003,7,37817,2003.537,376.54
2003,8,37848,2003.6219,374.42
2003,9,37879,2003.7068,372.92
2003,10,37909,2003.789,372.94
2003,11,37940,2003.874,374.29
2003,12,37970,2003.9562,375.63
2004,1,38001,2004.041,376.73
2004,2,38032,2004.1257,377.31
2004,3,38061,2004.2049,378.33
2004,4,38092,2004.2896,380.44
2004,5,38122,2004.3716,380.56
2004,6,38153,2004.4563,379.49
2004,7,38183,2004.5383,377.71
2004,8,38214,2004.623,375.77
2004,9,38245,2004.7077,373.99
2004,10,38275,2004.7896,374.17
2004,11,38306,2004.8743,375.79
2004,12,38336,2004.9563,377.39
2005,1,38367,2005.0411,378.29
2005,2,38398,2005.126,379.56
2005,3,38426,2005.2027,380.07
2005,4,38457,2005.2877,382.01
2005,5,38487,2005.3699,382.21
2005,6,38518,2005.4548,382.05
2005,7,38548,2005.537,380.63
2005,8,38579,2005.6219,378.64
2005,9,38610,2005.7068,376.38
2005,10,38640,2005.789,376.77
2005,11,38671,2005.874,378.27
2005,12,38701,2005.9562,379.92
2006,1,38732,2006.0411,381.33
2006,2,38763,2006.126,381.98
2006,3,38791,2006.2027,382.53
2006,4,38822,2006.2877,384.33
2006,5,38852,2006.3699,384.89
2006,6,38883,2006.4548,384
2006,7,38913,2006.537,382.25
2006,8,38944,2006.6219,380.44
2006,9,38975,2006.7068,378.77
2006,10,39005,2006.789,379.03
2006,11,39036,2006.874,380.11
2006,12,39066,2006.9562,381.63
2007,1,39097,2007.0411,382.55
2007,2,39128,2007.126,383.68
2007,3,39156,2007.2027,384.31
2007,4,39187,2007.2877,386.2
2007,5,39217,2007.3699,386.38
2007,6,39248,2007.4548,385.85
2007,7,39278,2007.537,384.42
2007,8,39309,2007.6219,381.81
2007,9,39340,2007.7068,380.83
2007,10,39370,2007.789,380.83
2007,11,39401,2007.874,382.32
2007,12,39431,2007.9562,383.58
2008,1,39462,2008.041,385.04
2008,2,39493,2008.1257,385.81
2008,3,39522,2008.2049,385.8
2008,4,39553,2008.2896,386.74
2008,5,39583,2008.3716,388.48
2008,6,39614,2008.4563,388.02
2008,7,39644,2008.5383,386.22
2008,8,39675,2008.623,384.05
2008,9,39706,2008.7077,383.05
2008,10,39736,2008.7896,382.75
2008,11,39767,2008.8743,383.98
2008,12,39797,2008.9563,385.08
2009,1,39828,2009.0411,386.63
2009,2,39859,2009.126,387.1
2009,3,39887,2009.2027,388.5
2009,4,39918,2009.2877,389.54
2009,5,39948,2009.3699,390.15
2009,6,39979,2009.4548,389.6
2009,7,40009,2009.537,388.05
2009,8,40040,2009.6219,386.06
2009,9,40071,2009.7068,384.64
2009,10,40101,2009.789,384.32
2009,11,40132,2009.874,386.05
2009,12,40162,2009.9562,387.48
2010,1,40193,2010.0411,388.55
2010,2,40224,2010.126,390.08
2010,3,40252,2010.2027,391.02
2010,4,40283,2010.2877,392.39
2010,5,40313,2010.3699,393.24
2010,6,40344,2010.4548,392.26
2010,7,40374,2010.537,390.35
2010,8,40405,2010.6219,388.53
2010,9,40436,2010.7068,386.85
2010,10,40466,2010.789,387.18
2010,11,40497,2010.874,388.69
2010,12,40527,2010.9562,389.83
2011,1,40558,2011.0411,391.33
2011,2,40589,2011.126,391.96
2011,3,40617,2011.2027,392.49
2011,4,40648,2011.2877,393.4
2011,5,40678,2011.3699,394.33
2011,6,40709,2011.4548,393.75
2011,7,40739,2011.537,392.64
2011,8,40770,2011.6219,390.25
2011,9,40801,2011.7068,389.05
2011,10,40831,2011.789,388.98
2011,11,40862,2011.874,390.3
2011,12,40892,2011.9562,391.86
2012,1,40923,2012.041,393.13
2012,2,40954,2012.1257,393.42
2012,3,40983,2012.2049,394.43
2012,4,41014,2012.2896,396.51
2012,5,41044,2012.3716,396.96
2012,6,41075,2012.4563,395.97
2012,7,41105,2012.5383,394.6
2012,8,41136,2012.623,392.61
2012,9,41167,2012.7077,391.2
2012,10,41197,2012.7896,391.09
2012,11,41228,2012.8743,393.03
2012,12,41258,2012.9563,394.42
2013,1,41289,2013.0411,395.69
2013,2,41320,2013.126,396.94
2013,3,41348,2013.2027,397.35
2013,4,41379,2013.2877,398.44
2013,5,41409,2013.3699,400.06
2013,6,41440,2013.4548,398.96
2013,7,41470,2013.537,397.45
2013,8,41501,2013.6219,395.49
2013,9,41532,2013.7068,393.47
2013,10,41562,2013.789,393.77
2013,11,41593,2013.874,395.27
2013,12,41623,2013.9562,396.9
2014,1,41654,2014.0411,398.01
2014,2,41685,2014.126,398.18
2014,3,41713,2014.2027,399.56
2014,4,41744,2014.2877,401.44
2014,5,41774,2014.3699,401.98
2014,6,41805,2014.4548,401.41
2014,7,41835,2014.537,399.17
2014,8,41866,2014.6219,397.3
2014,9,41897,2014.7068,395.49
2014,10,41927,2014.789,395.74
2014,11,41958,2014.874,397.32
2014,12,41988,2014.9562,398.88
2015,1,42019,2015.0411,399.94
2015,2,42050,2015.126,400.4
2015,3,42078,2015.2027,401.6
2015,4,42109,2015.2877,403.52
2015,5,42139,2015.3699,404.03
2015,6,42170,2015.4548,402.81
2015,7,42200,2015.537,401.54
2015,8,42231,2015.6219,398.93
2015,9,42262,2015.7068,397.43
2015,10,42292,2015.789,398.22
2015,11,42323,2015.874,400.17
2015,12,42353,2015.9562,401.82
2016,1,42384,2016.041,402.58
2016,2,42415,2016.1257,404.09
2016,3,42444,2016.2049,404.79
2016,4,42475,2016.2896,407.5
2016,5,42505,2016.3716,407.59
2016,6,42536,2016.4563,406.94
2016,7,42566,2016.5383,404.43
2016,8,42597,2016.623,402.17
2016,9,42628,2016.7077,400.95
2016,10,42658,2016.7896,401.43
2016,11,42689,2016.8743,403.57
2016,12,42719,2016.9563,404.48
2017,1,42750,2017.0411,406
2017,2,42781,2017.126,406.57
2017,3,42809,2017.2027,406.99
2017,4,42840,2017.2877,408.88
2017,5,42870,2017.3699,409.84
2017,6,42901,2017.4548,409.05
2017,7,42931,2017.537,407.13
2017,8,42962,2017.6219,405.17
2017,9,42993,2017.7068,403.2
2017,10,43023,2017.789,403.57
2017,11,43054,2017.874,405.1
2017,12,43084,2017.9562,406.68
2018,1,43115,2018.0411,407.98
2018,2,43146,2018.126,408.36
2018,3,43174,2018.2027,409.21
2018,4,43205,2018.2877,410.24
2018,5,43235,2018.3699,411.23
2018,6,43266,2018.4548,410.81
2018,7,43296,2018.537,408.83
2018,8,43327,2018.6219,407.02
2018,9,43358,2018.7068,405.53
2018,10,43388,2018.789,405.93
2018,11,43419,2018.874,408.04
2018,12,43449,2018.9562,409.17
2019,1,43480,2019.0411,410.85
2019,2,43511,2019.126,411.59
2019,3,43539,2019.2027,411.91
2019,4,43570,2019.2877,413.46
2019,5,43600,2019.3699,414.76
2019,6,43631,2019.4548,413.89
2019,7,43661,2019.537,411.78
2019,8,43692,2019.6219,410.01
2019,9,43723,2019.7068,408.48
2019,10,43753,2019.789,408.4
2019,11,43784,2019.874,410.16
2019,12,43814,2019.9562,411.81
2020,1,43845,2020.041,413.3
2020,2,43876,2020.1257,414.05
2020,3,43905,2020.2049,414.45
2020,4,43936,2020.2896,416.11
2020,5,43966,2020.3716,417.15
2020,6,43997,2020.4563,416.29
2020,7,44027,2020.5383,414.42
2020,8,44058,2020.623,412.52
2020,9,44089,2020.7077,411.18
2020,10,44119,2020.7896,411.12
2020,11,44150,2020.8743,412.88
2020,12,44180,2020.9563,413.89
2021,1,44211,2021.0411,415.15
2021,2,44242,2021.126,416.47
2021,3,44270,2021.2027,417.16
2021,4,44301,2021.2877,418.24
2021,5,44331,2021.3699,418.95
2021,6,44362,2021.4548,418.7
2021,7,44392,2021.537,416.65
2021,8,44423,2021.6219,414.34
2021,9,44454,2021.7068,412.91
2021,10,44484,2021.789,413.55
2021,11,44515,2021.874,414.82
2021,12,44545,2021.9562,416.43
2022,1,44576,2022.0411,418.01
2022,2,44607,2022.126,418.99
2022,3,44635,2022.2027,418.45
2022,4,44666,2022.2877,420.02
2022,5,44696,2022.3699,420.77
2022,6,44727,2022.4548,420.68
2022,7,44757,2022.537,418.68
2022,8,44788,2022.6219,416.76
2022,9,44819,2022.7068,415.41
2022,10,44849,2022.789,415.31
2022,11,44880,2022.874,-99.99
2022,12,44910,2022.9562,-99.99
